title,content,portalText
جيرالد هانلي,"يتيمه تاريخ اكتوبر
صندوق معلومات شخص
جيرالد هانلي انج فبراير سبتمبر ؛ روائي ايرلندي فبراير

تحديد
المصادر
مراجع

شريط بوابات اعلام ادب ايرلندا
بذره كاتب ايرلندي
ضبط استنادي

تصنيف روائيون بريطانيون في القرن
تصنيف روائيون من ليفربول
تصنيف كتاب ادب رحلات بريطانيون
تصنيف كتاب من ليفربول
تصنيف مواليد
تصنيف وفيات",أدب
كمال قرور (كاتب),"يتيمه تاريخ يونيو
صندوق معلومات كاتب
المدرسه الام جامعه قسنطينه منتوري جامعه قسنطينه
الاسم الادبي
جوائز
اسم الميلاد
مكان الميلاد بني عزيز  ولايه سطيف  الجزائر
اطفال
المواطنه
سبب الوفاه
مكان الوفاه
الدراسه ليسانس معهد الاداب واللغه العربيه
الاثنيه
النوع صحافه  وقصص قصيره  روايه ادب روايه
حجم الصوره
لغه المؤلفات العربيه
الحركه
الاسم كمال قرور
الجنسيه جزائري
اعمال هامه حضره الجنرال ملحمه الفارس الذي اختفي
الوظيفه كاتب مؤلف كاتب  وقاص روائي  وصحفي  استاذ جامعي
الفتره
الموضوع
ادب اضف وصله مباشره من صفحه الشاعر الكاتب في
تاثر ب
اثر في
توقيع
مكان الدفن
الديانه الاسلام
تزوج
الموقع
صوره
الاب
الام
ويكي مصدر


كمال قرور هو كاتب مؤلف كاتب وروائي وقاص وصحفي جزائري ولد عام في مدينه بني عزيز بولايه سطيف  وحصل علي درجه الليسانس من معهد الاداب واللغه العربيه جامعه قسنطينه منتوري بجامعه قسنطينه عام  ثم حصل علي شهاده الدراسات المعمقه في الاعلام والاتصال من جامعه الجزائر عام  وعمل مدرسا متعاونا بمعهد الاعلام والاتصال ما بين عامي و كما عمل صحفيا بمجله الوحده ما بين عامي و ثم اسس دار نشر خاصه عام  وشغل بعض المناصب الصحفيه منها رئيس تحرير مجله ابراج الاسبوعيه عام  ثم رئيس تحرير صحيفه الوسيط الاسبوعيه عام  ثم مسؤول النشر في مجله فنتازيا الاسبوعيه عام  الي جانب كتاباته في عدد من الصحف المحليه الجزائريه وهو عضو مؤسس بالنادي الادبي لمعهد الاداب واللغه العربيه بجامعه قسنطينه وعضو مؤسس لمهرجان الاغنيه السطيفيه منذ عام  وعضو مؤسس لمهرجان الضحك بالعلمه منذ عام  وعضو مساهم في تنظيم الايام الادبيه منذ عام  وعضو بالمجلس الوطني للجمعيه الثقافيه الجاحظيه منذ عام  وعضو مؤسس برابطه المجتمع المدني الجزائري منذ عام  كما قام بتاسيس مجلس المبادره الجزائريه لصناعه المعرفه وباطلاق مشروع كتاب الجيب للشباب وفي عام اسس كمال قرور دار الوطن اليوم للنشر والتوزيع والتي استطاعت ان تنشر نحو كتابا في مختلف المجالات خلال فتره وجيزه من بدايه تاسيسها واصطدم كمال قرور بالنظام الجزائري السابق حين نشرت الدار كتابا بعنوان بوتفليقه رجل القدر للكاتب والاعلامي عبد العزيز بوباكير وطلب منه وزير الدفاع السابق خالد نزار سحب الكتاب من الاسواق استشهاد بخبر
مكان
بواسطه
صحيفه الجزائر الترا
شهر يونيو
سنه
مكان النشر
لغه العربيه
مسار ارشيف حوار الناشر كمال قرور تهديد الجنرال منحني شهره مجانيه عبد الرزاق بوكبه ثقافه وفنون تاريخ ارشيف استشهاد بخبر
مكان
بواسطه
صحيفه الحياه العربيه
شهر يوليو
سنه
مكان النشر
لغه العربيه
مسار ارشيف الكاتب كمال قرور يصرح الرجوع الي الت تاريخ ارشيف

اعماله ومؤلفاته
الف كمال قرور العديد من المؤلفات التي تنوعت ما بين الاعمال الفكريه والدراسات الادبيه وروايه ادب الروايات الطويله والمجموعات القصصيه  ومنها

التراس ملحمه الفارس الذي اختفي صدرت عام عن الدار العربيه للعلوم ناشرون ببيروت وفازت بجائزه مالك حداد استشهاد بكتاب


مكان النشر بيروت لبنان
صفحات

سنه
مكان بيروت لبنان
لغه العربيه


سيد الخراب روايه صدرت عام عن منشورات فيسيرا استشهاد بكتاب


مكان النشر الجزائر
صفحات

سنه
مكان الجزائر
لغه العربيه

استشهاد بخبر
مكان
بواسطه
صحيفه المثقف
شهر نوفمبر
سنه
مكان النشر
لغه العربيه
مسار ارشيف تاريخ ارشيف
حضره الجنرال روايه صدرت عام عن دار الوطن اليوم للنشر والتوزيع بالجزائر استشهاد بخبر
مكان
بواسطه
صحيفه نفحه
شهر ديسمبر
سنه
مكان النشر
لغه العربيه
مسار ارشيف كمال قرور لنفحه لا احد يشبهني ولن تاريخ ارشيف استشهاد بكتاب


مكان النشر الجزائر
صفحات

سنه
مكان الجزائر
لغه العربيه


خواطرالحمار النوميدي صدرت عام عن المؤسسه الوطنيه للفنون المطبعيه


الجوائز
حظي الكاتب كمال قرور بتكريم العديد من الجهات في العراق والعالم العربي كما حصل علي العديد من الجوائز الادبيه ومن اهمها

جائزه مالك حداد للروايه في دورتها الرابعه عام مناصفه مع عبير شهرزاد عن روايته التراس ملحمه الفارس الذي اختفي استشهاد بخبر
مكان عمان الاردن
بواسطه
صحيفه الدستور
شهر فبراير
سنه
مكان النشر عمان الاردن
لغه العربيه
مسار ارشيف جائزه مالك حداد للروايه مناصفه بين كمال قرور وعبير شهرزاد تاريخ ارشيف





دراسات نقديه
قدمت الباحثه سعاد بن ناصر في عام دراسه بعنوان التمثيل السردي في روايات كمال قرور استشهاد ويب
موقع
مسار ارشيف تاريخ ارشيف

المصادر
مراجع
ضبط استنادي
شريط بوابات اعلام ادب الجزائر روايات صحافه اعلام

تصنيف اشخاص علي قيد الحياه
تصنيف اشخاص من بني عزيز
تصنيف روائيون جزائريون
تصنيف روائيون عرب
تصنيف صحفيون جزائريون
تصنيف صحفيون عرب
تصنيف كتاب جزائريون
تصنيف كتاب جزائريون حسب القرن
تصنيف كتاب جزائريون في القرن
تصنيف كتاب جزائريون في القرن
تصنيف كتاب عرب حسب القرن
تصنيف كتاب عرب حسب القرن الهجري
تصنيف كتاب عرب في القرن
تصنيف كتاب عرب في القرن
تصنيف مواليد",أدب
ترجمة حرفية,"صندوق تصفح ترجمه
الترجمه الحرفيه او الترجمه المباشره هي ترجمه الالفاظ من لغه الي اخري كلمه بكلمه استشهاد ويب مسار عنوان معلومات عن ترجمه حرفيه علي موقع ناشر مسار ارشيف تاريخ ارشيف اكتوبر وقد تشوه المعني المراد اذا اعتمد عليها المترجم بدلا من نقل المعني المقصود في الاصل يكون هذا التميز صحيحا عندما لا تعبر الترجمه الحرفيه بدقه عن المعني وهذا غير صحيح دائما
تدل الترجمه الحرفيه في دراسات الترجمه علي الترجمه التقنيه للنصوص العلميه والتقنيه والتكنولوجيه او القانونيه
اما في نظريه الترجمه فان الترجمه الحرفيه لها مصطلح اخر وهو واما بالنسبه لترجمه العبارات والمعاني فان المصطلح الاخر لها وهو اعاده الصياغه
تعد الترجمه الحرفيه ترجمه سيئه مفرده لمفرده او لفظ للمفرده  فعلي سبيل المثال؛ عند ترجمه النصوص غير التقنيه قد تكون التراجم الحرفيه مرادف للترجمه السيئه للتعابير او بمعني اخر ترجمه لغه تحليليه الي لغه تركيبيه حيث يمكن ان ينتج عنها ترجمه غير مفهومه نحويا

مصطلح في دراسات الترجمه
استعمالات المصطلح
بدا مصطلح الترجمه الحرفيه بالظهور في عناوين التراجم الانجليزيه للكلاسيكيات والتوراه وغيرها من النصوص في القرن التاسع عشر
الجمله
يمكن للكاتب الذي يترجم عملا مكتوبا بلغه لا يعرفها ان يستخدم التراجم الحرفيه احيانا الاسره  المهور  او الهروله علي سبيل المثال يعرف ان روبيرت بينسكي قد استخدم ترجمه حرفيه خلال ترجمته لروايه الجحيم لدانتي عام حيث انه لا يعرف الايطاليه وقام ريتشارد بيفير بالاستفاده من التراجم الحرفيه التي قدمتها زوجته لاريسا فولوخونسكي في ترجمتهما لعده روايات روسيه
من الشعر الي النثر
يمكن ان تدل الترجمه الحرفيه ايضا علي ترجمه تمثل المعني الدقيق للنص الاصلي ولكن لا تحاول نقل اسلوبه جماله او شعره ومع ذلك هناك فرق شاسع بين الترجمه الحرفيه للعمل الشعري وترجمه النثر ويجوز للترجمه الحرفيه للشعر ان تكون في النثر بدلا من ابيات الشعر ولكن يجب ان تكون خاليه من الاخطاء ايضا وتعد ترجمه تشارلز سينغلتون للكوميديا لالهيه عام ترجمه نثريه

الترجمه كممارسه سيئه
ويعني مصطلح الترجمه الحرفيه انها ربما ستكون مليئه بالاخطاء لان المترجم علي سبيل المثال لا يبذل اي جهد لنقل التعابير الصحيحه او ظلال المعني
امثله
ان الترجمه الانجليزيه الحرفيه للكلمه الالمانيه هي حديقه الاطفال ولكن التعبير يشير الي السنه الدراسيه بين مرحله ماقبل الدراسه والصف الاول وتسمي الترجمات الحرفيه والتي تقوم بترجمه المكونات الفرديه داخل الكلمات او مركبات الكلمات لانشاء مفردات جديده في اللغه الهدف وهي عمليه تعرف ايضا ب الترجمه المقرضه مثل حديقه البيره من الالمانيه  بالاستعاره
كما ان الترجمه الحرفيه للجمله الايطاليه اعلم ان هذا ليس جيدا تصبح انا ان هذا لا يذهب هو جيد حيث ان الجمله تشتمل علي كلمات بالانجليزيه وقواعد بالايطاليه
الترجمه الاليه
كانت الترجمات الاليه السابقه اعتبارا من علي الاقل سيئه السمعه لانها ببساطه تستخدم قاعده بيانات من الكلمات وترجماتها الا ان المحاولات اللاحقه للعبارات المستخدمه الشائعه اسفرت عن هيكل نحوي افضل وتصوير للعديد من التعابير اللغويه ولكن تركت الكثير من الكلمات بدون ترجمه في اللغه الاصليه تتطلب ترجمه اللغات المركبه استخدام محلل الكلمات المركبه او التراكيب
ان افضل الانظمه في وقتنا الحالي تستخدم مزيجا من التقنيات المذكوره اعلاه وتطبق خوارزميات للتصحيح الطبيعي للترجمه اما في النهايه فان الشركات المتخصصه في الترجمه التي توظف الترجمه الاليه تستخدمها كاداه لخلق ترجمه تقريبيه والتي يتم تلقيحها ومراجعتها من قبل اي مترجم محترف
اللغه المبسطه
في كثير من الاحيان يخلق المهاجرون من الجيل الاول نوعا من الترجمه الحرفيه في طريقه تحدثهم لغه ابائهم الاصليه وينتج عن هذه الترجمه مزيج من اللغتين تسمي اللغه المبسطه وهناك العديد من الامزجه لها اسماء محدده مثل السبانجليش او الجيرميش فعلي سبيل المثال يسمع الاطفال الاميركين من المهاجرين الالمان باستخدام من الكلمه الالمانيه بدلا من الكرسي الهزاز
التراجم الخاطئه
ان الترجمه الحرفيه للتعابير اللغويه هي مصدر للعديد من نكات المترجمين الخفيه الابوكريفا كما ان المثال المشهور التالي يقال في كل من سياق المترجمون المبتدئون والترجمه الاليه عندما ترجمت الجمله الروح مستعده لكن الجسد ضعيف من اصحاح مارك الي اللغه الروسيه ومن ثم الي اللغه الانجليزيه مره اخري كانت الترجمه الكحول جيده لكن اللحم متعفن ويعتقد عموما ان هذه مجرد قصه مسليه بسيطه وليست اشاره واقعيه الي خطا في الترجمه الاليه الفعليه

انظر ايضا
معني حرفي
حرف توضيح
ترجمه اقتراضيه
ترجمه بين السطور

مراجع
مراجع

لغت نامه دهخدا

شريط بوابات ادب اللغه لسانيات
تصنيف خطا
تصنيف دراسات ترجمه",أدب
سعيد صلاح أحمد,"صندوق معلومات شخص
سعيد صلاح احمد لغه صوماليه كاتب مسرحي وشاعر ومخرج افلام صومالي استشهاد بخبر
وكاله

مسيرته
كان سعيد صلاح في السابق مدرسا لعلم الاحياء في الصومال بين سنتي و اخرج احمد فيلمه الطويل الاول بعنوان الدراويش الصوماليون  استشهاد بكتاب مؤلف الاول عنوان ناشر تاريخ صفحه مسار مسار ارشيف تاريخ ارشيف سبتمبر بميزانيه قدرها مليون دولار وصور الفيلم الذي تبلغ مدته ساعات ودقيقه حياه محمد عبد الله حسن زعيم حركه الدراويش الصوماليه الثوريه تم استخدام سبع لغات للحوار السينمائي الصوماليه والعربيه والايطاليه والانجليزيه وثلاث لهجات اقليميه تضمن الفيلم سليلا حقيقيا لمحمد عبد الله حسن في بطوله الفيلم الشيخ عثمان محمود عمر كما ضم مئات الممثلين استشهاد بخبر

بعد اندلاع الحرب الاهليه هاجر احمد الي مينيسوتا قام بعد ذلك بتاليف كتاب للاطفال بعنوان  والذي كان بمثابه اساس لمسرحيه قائمه علي الفولكلور الصومالي قام بكتابتها وانتاجها لمسرح استشهاد ويب
موقع

مراجع
مراجع

روابط خارجيه

روابط فنيه
شريط بوابات مسرح اعلام الصومال ادب سينما
بذره شاعر صومالي

تصنيف صفحات تحتاج تصنيف سنه الولاده اشخاص احياء
تصنيف مهاجرون صوماليون الي الولايات المتحده
تصنيف شعراء صوماليون
تصنيف مخرجو افلام صوماليون
تصنيف امريكيون من اصل صومالي
تصنيف اشخاص علي قيد الحياه",أدب
ستيفن إليوت (كاتب),"وضح ستيفن اليوت توضيح
صندوق معلومات كاتب
ستيفن اليوت انج هو كاتب سيناريو وكاتب مؤلف كاتب ومخرج امريكي  ولد في ديسمبر استشهاد ويب عنوان عمل الاول الاخير مسار تاريخ تاريخ الوصول مسار ارشيف تاريخ ارشيف مايو استشهاد ويب عنوان عمل الاول الاخير مسار تاريخ تاريخ الوصول مسار ارشيف تاريخ ارشيف يوليو عنوان مولد بالبوت فبراير

مراجع
مراجع

وصلات خارجيه
موقع رسمي
روابط فنيه
ضبط استنادي
شريط بوابات ادب ادب امريكي اعلام السينما الامريكيه الولايات المتحده
بذره مخرج امريكي
تصنيف خريجو جامعه الينوي في اوربانا شامباين
تصنيف كتاب امريكيون
تصنيف مواليد

تصنيف خريجو كليه الاتصالات الجامعيه الشماليه الغربيه",أدب
استعانة (شعر),"الاستعانه في البديع  هي ان ياتي القائل ببيت غيره ليستعين به علي اتمام مراده الشريف الجرجاني كتاب التعريفات

انظر ايضا
اقتباس
قنطون
قنطنه
مراجع
مراجع
شريط بوابات فنون ادب

بذره ادب

تصنيف مصطلحات شعريه",أدب
فوزية الزواري,"رساله توضيح الزوار الزوار توضيح
صندوق معلومات شخص
الصوره
تعليق الصوره فوزيه الزواري في

فوزيه الزواري هي صحفيه وكاتبه تونسيه باللغه الفرنسيه  ولدت في سبتمبر في مدينه الدهماني  استشهاد ويب فرنسي مسار ارشيف تاريخ ارشيف العنوان عنوان مولد بالبوت تاريخ الوصول وهي تقيم في باريس منذ وهي شقيقه الوزير التونسي الاسبق عبد الرحيم الزواري

الحياه الشخصيه
ولدت فوزيه الزواري في مدينه الدهماني والتي تبعد حوالي كم الي الجنوب الشرقي من ولايه الكاف في شمال غرب تونس حيث نشات في عائله مكونه من ست اخوات واربع اخوه درست في جامعه تونس ثم انتقلت الي باريس

حصلت فوزيه علي درجه الدكتوراه في الادب الفرنسي والادب المقارن من جامعه السوربون  وهي تقيم في باريس منذ  حيث عملت لمده عشر سنوات في معهد العالم العربي  كما عملت رئيس تحرير لمجله القنطره وفي عام عملت كصحفيه في مجله جون افريك

فازت بجائزه القارات الخمس للفرنكوفونيه عن روايتها جسد امي فرن الصادره عن دار نشر الفرنسيه العريقه غاليمار استشهاد ويب مسار عنوان التونسيه فوزيه زواري تفوز بجائزه القارات الخمس ناشر تاريخ الوصول يناير مسار ارشيف التونسيه فوزيه زواري تفوز بجائزه القا تاريخ ارشيف فبراير

الاصدارات
بالالمانيه
فاصل ردمك

بالفرنسيه
فاصل
فاصل ردمك
فاصل ردمك
فاصل ردمك
فاصل ردمك
فاصل ردمك
فاصل ردمك
فاصل
فاصل
فاصل ردمك

المراجع
مراجع
شريط بوابات المراه اعلام ادب عربي فرنسا تونس ادب
ضبط استنادي

بذره صحفي تونسي
تصنيف اشخاص علي قيد الحياه
تصنيف اشخاص من الكاف
تصنيف خريجو جامعه باريس
تصنيف صحفيات تونسيات
تصنيف صحفيون تونسيون
تصنيف صحفيون في القرن
تصنيف صحفيون في القرن
تصنيف كاتبات القرن
تصنيف كاتبات القرن
تصنيف كاتبات تونسيات في القرن
تصنيف كاتبات تونسيات في القرن
تصنيف كتاب باللغه الفرنسيه
تصنيف كتاب تونسيون في القرن
تصنيف كتاب تونسيون في القرن
تصنيف معارضه الاسلام في فرنسا
تصنيف مغتربون تونسيون في فرنسا
تصنيف مهاجرون تونسيون الي فرنسا
تصنيف مواليد ه
تصنيف مواليد
تصنيف مواليد في الدهماني",أدب
جيمس كولر,"يتيمه تاريخ اكتوبر
صندوق معلومات شخص
جيمس كولر انج مايو  اوك بارك الينوي اوك بارك في الولايات المتحده ديسمبر  جوبلن في الولايات المتحده ؛ روائي امريكي

تحديد
المصادر
مراجع

شريط بوابات اعلام ادب الولايات المتحده
بذره كاتب امريكي
ضبط استنادي

تصنيف روائيون امريكيون
تصنيف شعراء امريكيون
تصنيف كتاب من اوك بارك الينوي
تصنيف مواليد
تصنيف وفيات",أدب
إلينور سي. دونيلي,"يتيمه تاريخ نوفمبر
صندوق معلومات شخص
الينور سي دونيلي انج سبتمبر  فيلادلفيا في الولايات المتحده ابريل ؛ كاتب مؤلف كاتبه وشاعر ه امريكيه يناير ديسمبر

تحديد

روابط خارجيه
روابط فنيه
المصادر
مراجع

شريط بوابات اعلام المراه شعر ادب الولايات المتحده
بذره شاعر امريكي
ضبط استنادي

تصنيف رومان كاثوليك امريكيون
تصنيف شاعرات امريكيات
تصنيف شعراء امريكيون في القرن
تصنيف شعراء امريكيون في القرن
تصنيف كاتبات امريكيات في القرن
تصنيف كاتبات امريكيات في القرن
تصنيف كاتبات سيره
تصنيف كاتبات سيره امريكيات
تصنيف كاتبات غير روائيات امريكيات
تصنيف كاتبات قصه قصيره امريكيات
تصنيف كتاب سيره امريكيون في القرن
تصنيف كتاب قصه قصيره امريكيون في القرن
تصنيف كتاب قصه قصيره امريكيون في القرن
تصنيف كتاب من فيلادلفيا بنسلفانيا
تصنيف مواليد
تصنيف وفيات",أدب
أندرياس إيشباخ,"يتيمه تاريخ سبتمبر

صندوق معلومات شخص
الاسم
الاسم الاصلي
الصوره
تعليق الصوره
تاريخ الولاده تاريخ الميلاد والعمر مذكور في ملف استنادي متكامل ملف استنادي متكامل ملف استنادي متكامل معرف ملف استنادي متكامل تاريخ الاطلاع اغسطس يونيو
مكان الولاده اولم اولم مذكور في ملف استنادي متكامل ملف استنادي متكامل وصله تاريخ الاطلاع ديسمبر يونيو
تاريخ الوفاه
مكان الوفاه
سبب الوفاه
مكان الدفن

الاقامه
الجنسيه المانيا
العرقيه
منشا
الاسم عند الولاده
الكنيه
الديانه
الحزب
الزوج
المهنه
مجال العمل
اعمال بارزه

المدرسه الام
تاثر ب
اثر في

الجوائز
التوقيع
الموقع الرسمي
ملاحظات

اندرياس ايشباخ لغه المانيه وم استشهاد ويب
مسار
عنوان صفحه اندرياس ايشباخ في
عمل
مسار ارشيف تاريخ ارشيف هو كاتب  وكاتب خيال علمي من المانيا ولد في اولم استشهاد ويب
مسار
عنوان معرف الملف الاستنادي الدولي الافتراضي لصفحه اندرياس ايشباخ
عمل

التعليم
تعلم في جامعه شتوتغارت جامعه شتوتغارت مستورد من فريبيس فريبيس
اعمال بارزه
من اهم اعماله



جوائز
حصل علي جوائز منها




روابط خارجيه
روابط فنيه
مراجع
مراجع
تصنيف كومنز
ضبط استنادي
مواقع التواصل الاجتماعي
شريط بوابات خيال علمي ادب اعلام المانيا

بذره كاتب الماني

تصنيف اشخاص من اولم
تصنيف روائيون المان
تصنيف كتاب خيال علمي المان
تصنيف محررو خيال علمي
تصنيف مواليد
تصنيف مواليد في اولم",أدب
